asset,start,end,common_return_days,daily_log_return_mean,annualized_common_window_volatility,median_30d_annualized_volatility,common_rolling_volatility_days,close_price_change,max_observed_close_drawdown,reported_volume_median_unverified_units,common_volume_days
bitcoin,2021-08-24,2022-08-23,363,-0.002297305104755205,0.6859687440532924,0.6437233348810296,363,-0.5534080692113751,-0.7188347334953404,88018.5,364
ethereum,2021-08-24,2022-08-23,363,-0.0019792447334081955,0.8841075293003494,0.8385764709885274,363,-0.4884629686820494,-0.7929427374708322,720740.0,364
BNB,2021-08-24,2022-08-23,363,-0.0013878124636614436,0.7893949780363548,0.7524753949998028,363,-0.36978264752246126,-0.6988560578125773,1764820438.0,364
xrp,2021-08-24,2022-08-23,363,-0.0035402937818234024,0.865611139507934,0.780687861188836,363,-0.7006125035201352,-0.7787515109652909,519399088.0,364
cardano,2021-08-24,2022-08-23,363,-0.005071254158798189,0.989561359149915,0.9067920620701175,363,-0.8315835841714999,-0.8593349521111561,244011672.0,364
dogecoin,2021-08-24,2022-08-23,363,-0.004164447627763477,0.9964910664778729,1.0092788067654024,363,-0.7598957107167077,-0.8318314975206191,1510314112.0,364
litecoin,2021-08-24,2022-08-23,363,-0.003347535916551569,0.9468208664991654,0.8625191345998884,363,-0.6723502304147465,-0.8446671438797423,605829.5,364
