Date,bitcoin,ethereum,BNB,xrp,cardano,dogecoin,litecoin
2021-08-24,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-08-25,102.68219228036644,101.7297668643603,106.61388809078225,103.3476485497043,100.58732838998606,100.77092549711344,102.44182027649771
2021-08-26,98.14920768652009,97.48775707001631,101.57139861931867,94.29386088425795,93.04382938110271,92.51703309638678,96.54953917050693
2021-08-27,102.82847843536689,103.16141759578477,104.85654141138039,104.83226555899748,108.1381690037442,101.78676214805003,101.45161290322582
2021-08-28,102.4780623162254,102.22610186369853,103.09618565427057,100.75682906223598,104.49673298583069,95.3828801130035,101.07142857142858
2021-08-29,102.22719623093093,101.54100199794532,101.84216384395765,100.33177274007323,104.71698113207546,93.80659397806693,100.39861751152075
2021-08-30,98.48683948552542,101.65161379779784,97.43324377282693,96.86091945930723,100.40745907055282,95.55716409047307,96.38767281105991
2021-08-31,98.77542979417245,108.11405305584792,98.47820262935151,104.38520839200226,101.65553189927317,97.76452688576317,98.78456221198158
2021-09-01,102.31521941875357,120.78209790562386,103.91718500456861,108.80473810194312,105.35202995374789,103.42418822669568,104.17108294930877
2021-09-02,103.26859437447999,119.31546737424603,102.61359430125981,110.36503801745987,108.69246017179354,103.62623114412513,105.70276497695852
2021-09-03,104.78741352245744,124.0456187012725,103.60674525212836,113.50851872711911,108.8466338741649,104.02645181012883,122.52304147465438
2021-09-04,104.61849283344546,122.42835443676219,105.61561200110788,110.42840045057731,103.89105058365757,105.14032319839208,122.25748847926268
2021-09-05,108.49612383605054,124.49720476733705,107.00269975746185,114.93329343846803,106.86440055796196,110.47109380764812,133.36981566820276
2021-09-06,110.38967026933,123.75947763498736,105.15898931227368,122.31061672768233,103.96813743484326,108.5764583106401,126.39400921658985
2021-09-07,98.04022659683494,107.87392145616809,88.53113004133762,98.85771613629963,91.94258864987887,89.35637910981647,102.50460829493089
2021-09-08,96.53503008506813,110.14225118647698,88.02314595515244,96.71835398479301,90.66514940165919,90.20812177390168,103.43721198156683
2021-09-09,97.21448526345131,107.88621165615172,89.32868447005288,95.63591241903688,92.36106012774391,88.67294698042468,103.8594470046083
2021-09-10,93.98110016410038,101.07176846523764,85.16235430239873,92.82772458462406,87.45686807136039,84.17810698084634,100.25403225806451
2021-09-11,94.64986681253367,102.96445926271404,85.99051719898222,94.93980568853843,96.74032743557743,84.67144307836104,102.8341013824885
2021-09-12,96.53691629623576,107.40626359012498,88.35607290121683,98.4916220782878,94.82783936568534,88.06365581725481,105.55241935483872
2021-09-13,94.20472097697356,103.50617346199175,84.6198661251621,93.65407631653056,88.23140738565449,82.86324681211414,103.2655529953917
2021-09-14,98.66456249331968,108.05512312259316,87.83719789506925,96.39274148127286,87.8569855370384,84.45112845361622,105.35080645161293
2021-09-15,100.87163913846257,113.82300851490265,91.481592209789,98.62450718107574,91.86183099625578,86.93116134268939,108.85426267281106
2021-09-16,100.06978981320222,112.48463725002047,90.04523323264249,95.95008448324415,88.7453197268923,85.08361062991712,106.71140552995394
2021-09-17,99.0948282185574,107.10279019052962,86.2249211168661,93.81248239932413,86.17575802070331,84.27227654931781,103.57718894009219
2021-09-18,101.24070779026171,108.27886778896149,87.1105282775651,94.65379470571669,87.06776301299463,84.81515708397606,104.45334101382488
2021-09-19,99.00240387134363,104.91166812678443,86.61483934760606,92.22842157138835,83.7934072388224,81.86111394166406,101.12903225806451
2021-09-20,89.84778275877245,93.78525554161966,76.75347694075806,81.05727259926782,75.92687761544673,72.94627766670298,90.4320276497696
2021-09-21,85.19659559842147,87.02470015063372,73.05723589357312,76.8471909321318,72.79201233389618,70.47784028419532,85.32949308755761
2021-09-22,91.27501587561066,96.9911069373452,80.45886170149431,88.33163193466629,82.92709786359298,78.86841911080033,93.00691244239631
2021-09-23,94.03642902501744,99.35901880085464,81.38763780281676,88.12570402703463,85.44526833565817,78.94361421398278,94.3778801843318
2021-09-24,89.74152619632945,92.28900247694799,75.34344901134001,83.1323922838637,83.620879524264,73.48810406440074,87.5697004608295
2021-09-25,89.46257652253918,92.09929221053427,74.19072634606077,82.73549704308645,84.37339402393363,73.22140741339386,86.94700460829493
2021-09-26,90.54526173275742,96.54141167127813,72.98241663236965,83.12007181075754,81.06600102782468,71.98279648480462,86.89458525345621
2021-09-27,88.38492120876795,92.21557641037921,71.2880535085199,81.12943537031822,78.21378753395491,70.15843678516337,83.5541474654378
2021-09-28,85.97413375752127,88.46675028204433,70.61827810866848,78.59669811320754,74.76323324278688,69.13592393347693,81.00748847926266
2021-09-29,87.05241780834838,89.86026988018631,78.03077542314752,81.56065192903408,75.83143675207398,69.81830192590823,83.43894009216591
2021-09-30,91.84444206921557,94.55859274058854,82.07401813470831,83.89274148127288,77.6888627854049,71.77688839852,88.32373271889402
2021-10-01,100.90391430733088,104.28171659429104,89.40781350707037,91.62823852435935,82.85735261728213,78.29110343543236,95.69700460829493
2021-10-02,99.89982122909711,106.79774112426968,90.77660089405198,91.1891016615038,82.54900521253946,76.82339340742746,97.37327188940093
2021-10-03,101.01729655640715,107.69177438974428,91.28773642291196,92.8462052942833,82.63343366859995,77.91899308837533,98.21370967741936
2021-10-04,103.1700922357261,106.60645519119139,90.27841410603861,91.66343987609125,80.39057337934071,84.78564124908203,96.56624423963135
2021-10-05,107.86885383330504,110.84058665221255,93.87413254437257,95.46782596451703,81.96901842742822,88.51763746824413,100.07546082949308
2021-10-06,115.945819632105,112.67308698310255,92.32518229186888,94.70835680090116,81.12106306438588,89.33143120175127,102.786866359447
2021-10-07,112.71976979840595,113.00681318265757,93.03773836425242,93.85648408898902,83.55480508039057,85.32184558299045,102.79953917050693
2021-10-08,112.99389915476783,112.16918878377442,88.86897504989246,93.4507885102788,82.03509287130166,85.54391710266943,101.23905529953919
