sample,model,n_assets,n_assets_requested,n_requested,n_scored,coverage,macro_mae,macro_rmse
daily_origins,Persistence,86,98,17544,15228,0.8679890560875513,0.3163215713640564,0.39752808230154096
daily_origins,Historical90,86,98,17544,15228,0.8679890560875513,0.3084692882753336,0.3850292295282094
daily_origins,Ridge,86,98,17544,15228,0.8679890560875513,0.31964959687640215,0.40322348785503
nonoverlap_30d,Persistence,86,98,585,510,0.8717948717948718,0.3239922719871333,0.4086844135142831
nonoverlap_30d,Historical90,86,98,585,510,0.8717948717948718,0.32372757665188684,0.4008630649589582
nonoverlap_30d,Ridge,86,98,585,510,0.8717948717948718,0.34622651158313933,0.4226369211686597
